"","roomType","city","long","lat","price"
"499","Entire home/apt","Boston",-71.061663,42.358892,175
"500","Entire home/apt","Boston",-71.065801,42.360627,177
"501","Entire home/apt","Boston",-71.067338,42.361086,177
"502","Entire home/apt","Boston",-71.067677,42.361258,179
"503","Entire home/apt","Boston",-71.069309,42.358375,180
"504","Entire home/apt","Boston",-71.068746,42.358859,180
"505","Entire home/apt","Boston",-71.067036,42.358973,180
"506","Entire home/apt","Boston",-71.069064,42.360342,180
"507","Entire home/apt","Boston",-71.066567,42.359355,180
"508","Private room","Boston",-71.070143,42.356747,180
"509","Entire home/apt","Boston",-71.06785,42.359393,180
"510","Private room","Boston",-71.070251,42.356856,180
"511","Entire home/apt","Boston",-71.070244,42.356823,185
"512","Entire home/apt","Boston",-71.072832,42.357644,185
"513","Entire home/apt","Boston",-71.067201,42.359866,190
"514","Entire home/apt","Boston",-71.06953,42.358515,195
"515","Entire home/apt","Boston",-71.068105,42.358666,195
"516","Entire home/apt","Boston",-71.068002,42.358836,195
"517","Entire home/apt","Boston",-71.063715,42.357213,195
"518","Entire home/apt","Boston",-71.066124,42.358825,195
"519","Private room","Boston",-71.065452,42.359951,195
"520","Entire home/apt","Boston",-71.068188,42.360528,198
"521","Entire home/apt","Boston",-71.067851,42.359145,199
"522","Entire home/apt","Boston",-71.069037,42.359843,199
"523","Entire home/apt","Boston",-71.065112,42.361244,200
"524","Entire home/apt","Boston",-71.061446,42.358596,200
"525","Entire home/apt","Boston",-71.066178,42.359749,200
