Key,X,radius,yaxis,Y,room_id,host_id,room_type,type_num,country,city,neighborhood,address,reviews,overall_sa,accommodat,bedrooms,bathrooms,price,price2,deleted,minstay,timestamp,latitude,longitude,survey_i,town_id,town,subregion,COUNT
2478,-71.140578,3,351.5190956,42.346266,6044462,21109653,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,2,4,1,1,2,40,80,0,1,12:36.9,42.346266,-71.140578,1,35,Boston,INNER CORE,1
873,-71.142152,3,352.161907,42.350194,4293597,9189449,Private room,2,United States,Boston,Allston-Brighton,Ridgemont Street,19,4.5,1,1,2,40,80,0,1,45:04.5,42.350194,-71.142152,1,35,Boston,INNER CORE,1
905,-71.161541,3,353.8998463,42.349856,5720428,29660942,Private room,2,United States,Boston,Allston-Brighton,Beechcroft Street,18,4.5,2,1,1,40,80,0,1,06:13.8,42.349856,-71.161541,1,35,Boston,INNER CORE,1
1603,-71.13581,3,352.3650646,42.350468,4598026,5383468,Private room,2,United States,Boston,Allston-Brighton,Radcliffe Road,7,4.5,1,1,1,40,80,0,14,24:39.6,42.350468,-71.13581,1,35,Boston,INNER CORE,1
2033,-71.12833,3,354.9607966,42.354375,4032126,4240,Private room,2,United States,Boston,Allston-Brighton,Gardner Street,4,4.5,1,1,1,40,80,0,7,13:11.1,42.354375,-71.12833,1,35,Boston,INNER CORE,1
3221,-71.139849,3,350.6628638,42.348984,3553664,7962842,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,0,0,2,1,1,40,80,0,1,51:14.9,42.348984,-71.139849,1,35,Boston,INNER CORE,1
1863,-71.140163,3,354.4551282,42.348254,6412019,17922220,Shared room,3,United States,Boston,Allston-Brighton,Warren Street,6,5,1,1,1,42,84,0,1,06:14.9,42.348254,-71.140163,2,35,Boston,INNER CORE,1
3214,-71.143635,3,352.1190481,42.361158,6743256,24118651,Private room,2,United States,Boston,Allston-Brighton,School Street,0,0,1,1,1,43,86,0,3,17:36.3,42.361158,-71.143635,1,35,Boston,INNER CORE,1
3226,-71.136151,3,353.1523565,42.349017,6854357,9953174,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,0,0,2,1,1,45,90,0,1,03:23.1,42.349017,-71.136151,1,35,Boston,INNER CORE,1
3476,-71.135658,3,353.7636555,42.349276,5878993,10795653,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,0,0,2,1,1,49,98,0,2,26:32.8,42.349276,-71.135658,2,35,Boston,INNER CORE,1
2297,-71.14493,3,352.9895333,42.352923,4671628,23867965,Private room,2,United States,Boston,Allston-Brighton,Murdock Street,3,4,2,1,1,50,100,0,1,04:32.0,42.352923,-71.14493,2,35,Boston,INNER CORE,1
1600,-71.135252,3,353.6632559,42.346073,6450297,12863235,Private room,2,United States,Boston,Allston-Brighton,Brainerd Road,7,4.5,2,1,1,50,100,0,1,51:44.2,42.346073,-71.135252,1,35,Boston,INNER CORE,1
480,-71.13553,3,350.1462375,42.352914,341207,1730791,Private room,2,United States,Boston,Allston-Brighton,Brighton Avenue,34,5,1,1,1.5,50,100,0,1,49:53.2,42.352914,-71.13553,1,35,Boston,INNER CORE,1
615,-71.131831,3,354.2821942,42.353852,504515,1730791,Private room,2,United States,Boston,Allston-Brighton,Brighton Avenue,28,5,1,1,1.5,50,100,0,1,56:48.6,42.353852,-71.131831,1,35,Boston,INNER CORE,1
1505,-71.128262,3,352.6688022,42.359445,3522474,2811498,Private room,2,United States,Boston,Allston-Brighton,North Harvard Street,8,5,4,1,1,50,100,0,1,15:39.9,42.359445,-71.128262,1,35,Boston,INNER CORE,1
1715,-71.141864,3,351.6357516,42.344824,6418473,33482090,Shared room,3,United States,Boston,Allston-Brighton,Commonwealth Avenue,7,5,2,1,1,50,100,0,1,10:29.8,42.344824,-71.141864,2,35,Boston,INNER CORE,1
3206,-71.127591,3,352.4621693,42.354779,6901400,10546432,Private room,2,United States,Boston,Allston-Brighton,Gardner Street,0,0,1,1,1,50,100,0,3,25:41.9,42.354779,-71.127591,1,35,Boston,INNER CORE,1
3207,-71.167459,3,354.1412,42.344382,4556374,3690995,Private room,2,United States,Boston,Allston-Brighton,Kenrick Street,0,0,2,1,1,50,100,0,2,38:20.2,42.344382,-71.167459,1,35,Boston,INNER CORE,1
3479,-71.129579,3,352.6345077,42.35325,5824015,30228015,Private room,2,United States,Boston,Allston-Brighton,Linden Street,0,0,2,1,1,50,100,0,1,33:26.0,42.35325,-71.129579,2,35,Boston,INNER CORE,1
